Drug Name,Uses,SideEffect
Acetaminophen,acetaminophen is a pain reliever and a fever reducer.,"get emergency medical help if you have signs of an allergic reaction to acetaminophen: hives; difficulty breathing; swelling of your face, lips, tongue, or throat. in rare cases, acetaminophen may cause a severe skin reaction that can be fatal, even if you took acetaminophen in the past and had no reaction. stop taking this medicine and call your doctor right away if you have skin redness or a rash that spreads and causes blistering and peeling. stop taking acetaminophen and call your doctor at once if you have signs of liver problems: stomach pain (upper right side);   loss of appetite;   tiredness, itching;   dark urine, clay-colored stools; or   jaundice (yellowing of the skin or eyes). less serious acetaminophen side effects may be more likely, and you may have none at all. this is not a complete list of side effects and others may occur. call your doctor for medical advice about side effects. you may report side effects to fda at 1-800-fda-1088. acetaminophen side effects (more detail)"
Adderall,adderall is used to treat attention deficit hyperactivity disorder (adhd) and narcolepsy. adderall contains a combination of amphetamine and dextroamphetamine. amphetamine and dextroamphetamine are central nervous system stimulants that affect chemicals in the brain and nerves that contribute to hyperactivity and impulse control.,"get emergency medical help if you have signs of an allergic reaction to adderall: hives; difficult breathing; swelling of your face, lips, tongue, or throat. adderall may cause serious side effects. call your doctor at once if you have: signs of heart problems - chest pain, trouble breathing, feeling like you might pass out; signs of psychosis - hallucinations (seeing or hearing things that are not real), new behavior problems, aggression, hostility, paranoia; signs of circulation problems - numbness, pain, cold feeling, unexplained wounds, or skin color changes (pale, red, or blue appearance) in your fingers or toes; a seizure (convulsions); muscle twitches (tics); or changes in your vision. seek medical attention right away if you have symptoms of serotonin syndrome, such as: agitation, hallucinations, fever, sweating, shivering, fast heart rate, muscle stiffness, twitching, loss of coordination, nausea, vomiting, or diarrhea. adderall can affect growth in children. tell your doctor if your child is not growing at a normal rate while using this medicine. common side effects of adderall may include: stomach pain; loss of appetite; weight loss; mood changes; feeling nervous; fast heart rate; headache; dizziness; sleep problems (insomnia); or dry mouth. this is not a complete list of side effects and others may occur. call your doctor for medical advice about side effects. you may report side effects to fda at 1-800-fda-1088. adderall side effects (more detail)"
Amitriptyline,"amitriptyline is a tricyclic antidepressant used to treat symptoms of depression (fda approved), and amitriptyline is used off-label for insomnia, migraine prevention, adhd, eating disorders, bipolar disorder, anxiety, psychotic disorders, and some types of pain. amitriptyline may work by increasing chemical messengers (neurotransmitters) serotonin and norepinephrine that communicate between brain cells and help regulate mood.","common amitriptyline side effects common amitriptyline side effects may include dry mouth, vision changes, sleepiness (sedation), tiredness, appetite or weight changes, constipation, diarrhea, nausea, vomiting, upset stomach, mouth pain, unusual taste, black tongue, urinating less than usual, breast swelling (in men or women), lower sex drive, impotence, or difficulty having an orgasm. serious amitriptyline side effects allergic reactions: get emergency medical help if you have signs of an allergic reaction to amitriptyline, including difficulty breathing, hives, or swelling of your face, lips, tongue, or throat. report any new or worsening symptoms to your doctor, such as mood or behavior changes, anxiety, panic attacks, trouble sleeping, or if you feel impulsive, irritable, agitated, hostile, aggressive, restless, hyperactive (mentally or physically), more depressed, or have thoughts about suicide or hurting yourself. call your doctor at once if you have: signs of a blood clot - sudden numbness or weakness, problems with vision or speech, swelling or redness in an arm or leg; unusual thoughts or behavior; a light-headed feeling, like you might pass out; chest pain or pressure, pain spreading to your jaw or shoulder, nausea, sweating; pounding heartbeats or fluttering in your chest; confusion, hallucinations; a seizure (convulsions); painful or difficult urination; severe constipation; easy bruising, unusual bleeding, or fever, chills, sore throat, mouth sores. this is not a complete list of side effects and others may occur. call your doctor for medical advice about side effects. you may report side effects to the fda at 1-800-fda-1088. amitriptyline side effects (more detail)"
Amlodipine,amlodipine besylate belongs to a class of medications called calcium channel blockers. it lowers blood pressure by relaxing the blood vessels so the heart does not have to pump as hard.,"common amlodipine side effects the most common amlodipine side may include: dizziness, drowsiness;   swelling of your legs or ankles;   irregular heartbeat;   pounding heartbeats or fluttering in your chest;   muscle stiffness;   uncontrolled muscle movements;   feeling tired;   stomach pain, nausea; or   flushing (sudden warmth, redness, or tingly feeling). amlodipine besylate may cause serious side effects get emergency medical help if you have signs of an allergic reaction to amlodipine: hives; difficulty breathing; swelling of your face, lips, tongue, or throat. in rare cases, when you first start taking this medicine, your chest pain may get worse or you could have a heart attack. seek emergency medical attention or call your doctor right away if you have symptoms such as: chest pain or pressure, pain spreading to your jaw or shoulder, nausea, sweating. call your doctor at once if you have: worsening chest pain; or   a light-headed feeling, like you might pass out. this is not a complete list of side effects and others may occur. call your doctor for medical advice about side effects. you may report side effects to fda at 1-800-fda-1088. amlodipine side effects (more detail)"
Amoxicillin,"amoxicillin is a penicillin antibiotic used to treat bacterial infections such as tonsillitis, bronchitis, sinusitis, pneumonia, and infections of the ear, nose, throat, skin, or urinary tract.","common amoxicillin side effects common amoxicillin side effects may include nausea, vomiting, diarrhea, or rash. these side effects affected more than 1% of patients in clinical trials. serious amoxicillin side effects get emergency medical help if you have signs of an allergic reaction to amoxicillin (hives, difficult breathing, swelling in your face or throat) or a severe skin reaction (fever, sore throat, burning eyes, skin pain, red or purple skin rash with blistering and peeling). call your doctor at once if you have: severe stomach pain; or diarrhea that is watery or bloody (even if it occurs months after your last dose). this is not a complete list of side effects, and others may occur. call your doctor for medical advice about side effects. you may also report side effects to the fda at 1-800-fda-1088. amoxicillin side effects (more detail)"
Ativan,ativan (lorazepam) belongs to a class of medications called benzodiazepines. it is thought that benzodiazepines work by enhancing the activity of certain neurotransmitters in the brain.,"get emergency medical help if you have signs of an allergic reaction to ativan: hives; difficulty breathing; swelling of your face, lips, tongue, or throat. lorazepam can slow or stop your breathing, especially if you have recently used an opioid medication or alcohol. a person caring for you should seek emergency medical attention if you have slow breathing with long pauses, blue colored lips, or if you are hard to wake up. ativan may cause serious side effects. call your doctor at once if you have: severe drowsiness;   unusual changes in mood or behavior, being agitated or talkative;   sudden restless feeling or excitement;   seizures, depression, thinking problems, thoughts of suicide or hurting yourself;   confusion, aggression, hallucinations;   sleep problems (insomnia);   vision changes; or   dark urine, or jaundice (yellowing of the skin or eyes). drowsiness or dizziness may last longer in older adults. use caution to avoid falling or accidental injury. common ativan side effects may include: dizziness, sedation, drowsiness;   weakness; or   feeling unsteady. you will need frequent blood tests to check your blood counts and liver function. after you stop using ativan, seek medical help right away if you have symptoms such as: unusual muscle movements, being more active or talkative, sudden and severe changes in mood or behavior, confusion, hallucinations, seizures, suicidal thoughts or actions. some withdrawal symptoms may last up to 12 months or longer after stopping ativan suddenly. tell your doctor if you have ongoing anxiety, depression, problems with memory or thinking, trouble sleeping, ringing in your ears, a burning or prickly feeling, or a crawling sensation under your skin. this is not a complete list of side effects and others may occur. call your doctor for medical advice about side effects. you may report side effects to fda at 1-800-fda-1088. ativan side effects (more detail)"
Atorvastatin,"atorvastatin is medication used to lower cholesterol and triglycerides (fats) levels to help prevent prevent heart disease, angina (chest pain), strokes, and heart attacks.  atorvastatin calcium belongs to a class of medications called hmg-coa reductase inhibitors (statins). atorvastatin calcium works by slowing the production of cholesterol in the body to decrease the amount of cholesterol that may build up on the walls of the arteries and block blood flow to the heart, brain, and other parts of the body.","common atorvastatin side effects common atorvastatin side effects may include pain in your bones, spine, joints, or muscles, pain and burning when you urinate, painful urination, muscle spasms, upset stomach, trouble sleeping, stuffy nose, runny nose, sore throat, diarrhea, nausea, or pain in your arms or legs. serious atorvastatin side effects get emergency medical help if you have signs of an allergic reaction to this medicine (hives, difficult breathing, swelling in your face or throat) or a severe skin reaction (fever, sore throat, burning eyes, skin pain, red or purple skin rash with blistering and peeling). atorvastatin calcium can cause the breakdown of muscle tissue, which can lead to kidney failure. call your doctor right away if you have unexplained muscle pain, tenderness, or weakness especially if you also have fever, unusual tiredness, or dark urine. muscle problems may be more likely in older adults and those who have kidney problems, thyroid problems, or take certain other medicines. also call your doctor at once if you have: muscle weakness in your hips, shoulders, neck, and back; trouble lifting your arms, trouble climbing or standing; liver problems - loss of appetite, stomach pain (upper right side), tiredness, itching, dark urine, clay-colored stools, jaundice (yellowing of the skin or eyes); kidney problems - swelling, urinating less, feeling tired or short of breath; or high blood sugar - increased thirst, increased urination, dry mouth, fruity breath odor. this is not a complete list of side effects and others may occur. call your doctor for medical advice about side effects. you may report side effects to fda at 1-800-fda-1088. atorvastatin side effects (more detail)"
Azithromycin,azithromycin is an antibiotic that fights bacteria.,"get emergency medical help if you have signs of an allergic reaction to azithromycin: (hives, difficult breathing, swelling in your face or throat) or a severe skin reaction (fever, sore throat, burning in your eyes, skin pain, red or purple skin rash that spreads and causes blistering and peeling). seek medical treatment if you have a serious drug reaction that can affect many parts of your body. symptoms may include: skin rash, fever, swollen glands, flu-like symptoms, muscle aches, severe weakness, unusual bruising, or yellowing of your skin or eyes. this reaction may occur several weeks after you began using azithromycin. call your doctor at once if you have: severe stomach pain, diarrhea that is watery or bloody;   fast or pounding heartbeats, fluttering in your chest, shortness of breath, and sudden dizziness (like you might pass out); or   liver problems - nausea, upper stomach pain, itching, tired feeling, loss of appetite, dark urine, clay-colored stools, jaundice (yellowing of the skin or eyes). call your doctor right away if a baby taking azithromycin becomes irritable or vomits while eating or nursing. older adults may be more likely to have side effects on heart rhythm, including a life-threatening fast heart rate. common azithromycin side effects may include: diarrhea;   nausea, vomiting, stomach pain; or   headache. this is not a complete list of side effects and others may occur. call your doctor for medical advice about side effects. you may report side effects to fda at 1-800-fda-1088. azithromycin side effects (more detail)"
Benzonatate,benzonatate is a non-narcotic cough medicine.,"stop taking benzonatate and get emergency medical help if you have signs of an allergic reaction: hives; difficult breathing; swelling of your face, lips, tongue, or throat. call your doctor at once if you have: severe drowsiness or dizziness;   confusion, hallucinations.   ongoing numbness or tingling in your mouth, throat, or face;   numbness in your chest;   a choking feeling;   chills; or   burning in your eyes. some of these side effects may result from chewing or sucking on a benzonatate capsule. common benzonatate side effects may include: headache, dizziness;   nausea, upset stomach;   constipation;   itching, rash; or   stuffy nose. this is not a complete list of side effects and others may occur. call your doctor for medical advice about side effects. you may report side effects to fda at 1-800-fda-1088. benzonatate side effects (more detail)"
Biktarvy,"biktarvy is a complete hiv-1 treatment in a once-a-day single tablet containing three antiviral medicines bictegravir, emtricitabine, and tenofovir.  biktarvy works by preventing hiv from multiplying in your body and lowers hiv blood levels, which decreases your chance of developing aids and hiv-related illnesses such as cancer or serious infections. it is not a cure for hiv and it is not fda-approved to prevent hiv-1 infection hiv-1 prep (pre-exposure prophylaxis).","common biktarvy side effects the most common biktarvy side effects include diarrhea (6%), nausea (6%), headache (5%), fatigue (3%), abnormal dreams (3%), dizziness (2%), sleep problems (2%), and bloated abdomen (2%) for patients in clinical trial 1489. biktarvy side effects of abdominal pain and other gastric problems such as wind (flatulence), indigestion (dyspepsia), and vomiting occurred in less than 2% of patients in clinical trials 1489 and 1490. serious biktarvy side effects allergy to biktarvy, get emergency medical help if you have signs of an allergic reaction including rash, hives, shortness of breath, or swelling of your face, lips, tongue, or throat. kidney problems: new or worse kidney problems, including kidney failure. your healthcare provider should organize blood and urine tests to check your kidneys when starting and during treatment with this medicine. avoid taking biktarvy with other medications that also harm your kidneys. if you develop new or worse kidney problems, your healthcare provider may tell you to stop taking this medicine. symptoms of kidney problems include: little or no urination  swelling in your feet or ankles  feeling tired shortness of breath. changes in your immune system (immune reconstitution syndrome): this can happen when you start taking hiv-1 medicines. your immune system may get stronger and begin to fight infections that have been hidden in your body for a long time. tell your healthcare provider right away if you start having any new symptoms after starting your hiv-1 medicine. severe liver problems. in rare cases, severe liver problems can happen that can lead to death. tell your healthcare provider right away if you get these symptoms: skin or the white part of your eyes turns yellow, dark ""tea-colored"" urine,  light-colored stools,  loss of appetite for several days or longer, nausea, stomach-area pain. too much lactic acid in your blood (lactic acidosis). too much lactic acid is a serious but rare medical emergency that can lead to death. tell your healthcare provider right away if you get these symptoms: weakness or being more tired than usual unusual muscle pain  being short of breath or fast breathing  stomach pain with nausea and vomiting  cold or blue hands and feet  feel dizzy or lightheaded  a fast or abnormal heartbeat. this is not a complete list of side effects and others may occur. talk to your doctor, pharmacist, or healthcare provider for medical advice about side effects. you may report side effects to fda at 1-800-fda-1088. biktarvy side effects (more detail)"
